I, [2020-03-14T16:09:40.451659 #94774]  INFO -- Kitchen: -----> Starting Test Kitchen (v2.4.0)
E, [2020-03-14T16:09:40.451945 #94774] ERROR -- Kitchen: ------Exception-------
E, [2020-03-14T16:09:40.452008 #94774] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-03-14T16:09:40.452051 #94774] ERROR -- Kitchen: Message: Kitchen YAML file /Users/aaronl/github/mitre/microsoft-windows-10-stig-baseline/controls/kitchen.yml does not exist.
E, [2020-03-14T16:09:40.452110 #94774] ERROR -- Kitchen: ----------------------
E, [2020-03-14T16:09:40.452189 #94774] ERROR -- Kitchen: ------Backtrace-------
E, [2020-03-14T16:09:40.452245 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2020-03-14T16:09:40.452279 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/config.rb:154:in `data'
E, [2020-03-14T16:09:40.452309 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/config.rb:132:in `suites'
E, [2020-03-14T16:09:40.452338 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/config.rb:184:in `filter_instances'
E, [2020-03-14T16:09:40.452366 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/config.rb:143:in `build_instances'
E, [2020-03-14T16:09:40.452395 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/config.rb:117:in `instances'
E, [2020-03-14T16:09:40.452424 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-03-14T16:09:40.452452 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-03-14T16:09:40.452480 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-03-14T16:09:40.452508 #94774] ERROR -- Kitchen: /System/Library/Frameworks/Ruby.framework/Versions/2.6/usr/lib/ruby/2.6.0/benchmark.rb:293:in `measure'
E, [2020-03-14T16:09:40.452549 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/command/action.rb:34:in `call'
E, [2020-03-14T16:09:40.452600 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/cli.rb:52:in `perform'
E, [2020-03-14T16:09:40.452633 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/cli.rb:198:in `block (2 levels) in <class:CLI>'
E, [2020-03-14T16:09:40.452663 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/thor-0.20.3/lib/thor/command.rb:27:in `run'
E, [2020-03-14T16:09:40.452692 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/thor-0.20.3/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-03-14T16:09:40.452721 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/thor-0.20.3/lib/thor.rb:387:in `dispatch'
E, [2020-03-14T16:09:40.452749 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/thor-0.20.3/lib/thor/base.rb:466:in `start'
E, [2020-03-14T16:09:40.452778 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/bin/kitchen:13:in `block in <top (required)>'
E, [2020-03-14T16:09:40.452806 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-03-14T16:09:40.452834 #94774] ERROR -- Kitchen: /Library/Ruby/Gems/2.6.0/gems/test-kitchen-2.4.0/bin/kitchen:13:in `<top (required)>'
E, [2020-03-14T16:09:40.452862 #94774] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `load'
E, [2020-03-14T16:09:40.452889 #94774] ERROR -- Kitchen: /usr/local/bin/kitchen:23:in `<main>'
E, [2020-03-14T16:09:40.452916 #94774] ERROR -- Kitchen: ----End Backtrace-----
